feature,importance
ts_ad_click_list_v003_1_diff_last,0.08511834165971904
ts_ad_click_list_v003_2_diff_last,0.07367517139117628
ts_ad_click_list_v003_3_diff_last,0.12640402289227493
ts_ad_click_list_v003_4_diff_last,0.278484240530472
ts_ad_click_list_v003_1_diff_next,0.008647975497650617
ts_ad_click_list_v003_2_diff_next,0.06588410752231172
ts_ad_click_list_v003_3_diff_next,0.018307452303744476
ts_ad_click_list_v003_4_diff_next,0.08338947481362054
ts_ad_close_list_v001_1_diff_last,0.017483707225522224
ts_ad_close_list_v001_2_diff_last,0.005605515724691348
ts_ad_close_list_v001_3_diff_last,0.014139061783444254
ts_ad_close_list_v001_4_diff_last,0.005520578161609172
ts_ad_close_list_v001_1_diff_next,0.021992381735991287
ts_ad_close_list_v001_2_diff_next,0.019481232035968788
ts_ad_close_list_v001_3_diff_next,0.00012182163015704258
ts_ad_close_list_v001_4_diff_next,0.055126235101577215
ts_u_newsCatInterestsST_1_diff_last,0.010768840684575808
ts_u_newsCatInterestsST_2_diff_last,0.5903930689158052
ts_u_newsCatInterestsST_3_diff_last,2.322200680011058
ts_u_newsCatInterestsST_4_diff_last,0.818101083303437
ts_u_newsCatInterestsST_1_diff_next,0.029881549918610188
ts_u_newsCatInterestsST_2_diff_next,0.010884847186314715
ts_u_newsCatInterestsST_3_diff_next,0.08532661997954705
ts_u_newsCatInterestsST_4_diff_next,0.234308289215856
ts_u_refreshTimes_1_diff_last,6.6522787830705354e-06
ts_u_refreshTimes_2_diff_last,0.009269550185855296
ts_u_refreshTimes_3_diff_last,0.0030285030993192625
ts_u_refreshTimes_4_diff_last,0.04172723775431125
ts_u_refreshTimes_1_diff_next,0.00021465491453906066
ts_u_refreshTimes_2_diff_next,0.016218991247506358
ts_u_refreshTimes_3_diff_next,0.0016230317955407657
ts_u_refreshTimes_4_diff_next,0.014829204308177931
u_newsCatInterestsST_feeds_nuni,1.384140047076824
u_click_ca2_news_feeds_nuni,1.4170483524530122
i_docId_feeds_nuni,1.473496332401361
i_s_sourceId_feeds_nuni,1.2589140874453146
i_regionEntity_feeds_nuni,1.9107394363357357
i_cat_feeds_nuni,1.8331639151628496
i_entities_feeds_nuni,1.5209649580477147
i_upTimes_feeds_nuni,0.21869573559390187
e_po_feeds_nuni,0.9189203843031273
e_et_feeds_nuni,0.07753525225821999
u_refreshTimes_feeds_mean,1.1821859493477695
i_upTimes_feeds_mean,1.9175917534453863
